Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,124,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–385,journal,1999,NA,1997,secondary,Additional costs to planting required for rehabilitation of saltmarshes such as topographical and hydrographical alterationsNA,Hydrological restoration,NA,NA,USA,USA,developed,"In addition to planting costs, other costs (eNAgNA topographical and hydrological alterations) can range from around US$ 600 to 80,000 per ha, depending on existing site conditions (NOAA, 1997c)NA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.00,80000.00,108677.00,108677.00,108677.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,125,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–388,journal,1999,NA,1997,secondary,"Saltmarsh creation through the restoration of tidal flows through the re-excavation of natural channels and the installation of culverts (NOAA, 1997d)NA",Hydrological restoration,NA,"Galilee Bird Sanctuary, Rhode Island",USA,USA,developed,Overall costs for saltmarsh creationNA The rehabilitation work was primarily to restore tidal flows through the re-excavation of natural channels and the installation of culvertsNA,yes,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,14.00,1400000.00,1997.00,100000.00,135846.00,135846.00,135846.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,126,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–389,journal,1999,1997,1997,secondary,"Creation of 44NA5 ha marshland in Greenhill Marsh in Louisiana, USA (NOAA, 1997e)NA",NA,NA,"Greenhill Marsh, Louisiana",USA,USA,developed,Overall costs for saltmarsh creationNA Cost for the creation of 44NA5 ha marshlandNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44NA5,7000000.00,1997.00,157303.00,213690.00,213690.00,213690.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,127,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–390,journal,1999,1991,1997,secondary,"Saltmarsh creation by opening up agricultural land to flooding by the sea: moving back the line of sea defence referred to as `managed retreat'NA Little human intervention is required other than monitoring and minor maintenance since the re-vegetation is left to occur naturallyNA Original source: East Midlands Environmental Consultants, 1995NA","Hydrological restoration, managed retreat",NA,"Northey Island, Essex",UK,GBR,developed,"Costs include engineering costs required to secure existing secondary defences further inland, which varied greatly for each siteNA All pre- and post-construction phase costs (eNAgNA planning, site survey, monitoring and opportunity costs) are excludedNA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,1.00,NA,1997.00,43000.00,54887.00,54887.00,42239.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,128,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–391,journal,1999,1993,1997,secondary,"Saltmarsh creation by opening up agricultural land to flooding by the sea: moving back the line of sea defence referred to as `managed retreat'NA Little human intervention is required other than monitoring and minor maintenance since the re-vegetation is left to occur naturallyNA Original source: East Midlands Environmental Consultants, 1995NA","Hydrological restoration, managed retreat",NA,"Horsey Island, Essex",UK,GBR,developed,"Costs include engineering costs required to secure existing secondary defences further inland, which varied greatly for each siteNA All pre- and post-construction phase costs (eNAgNA planning, site survey, monitoring and opportunity costs) are excludedNA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,2.00,NA,1997.00,1860.00,2374.00,2374.00,1827.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,129,Spurgeon J (1999) The socio-economic costs and benefits of coastal habitat rehabilitation and creationNA Mar Pollut Bull 37:373–392,journal,1999,1995,1997,secondary,"Saltmarsh creation by opening up agricultural land to flooding by the sea: moving back the line of sea defence referred to as `managed retreat'NA Little human intervention is required other than monitoring and minor maintenance since the re-vegetation is left to occur naturallyNA Original source: East Midlands Environmental Consultants, 1995NA","Hydrological restoration, managed retreat",NA,"Orplands, Essex",UK,GBR,developed,"Costs include engineering costs required to secure existing secondary defences further inland, which varied greatly for each siteNA All pre- and post-construction phase costs (eNAgNA planning, site survey, monitoring and opportunity costs) are excludedNA",NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,40.00,NA,1997.00,2600.00,3319.00,3319.00,2554.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,130,"Staszak L, Armitage A (2013) Evaluating salt marsh restoration success with an index of ecosystem integrityNA J Coast Res 287:410–418",journal,2013,2009,NA,primary,"A Rapid Assessment Method was developed and used specifically for this habitat in order to compare restored (ages 5–15 y) to reference saltmarshesNA An ecosystem index score was calculated, whereby a pristine habitat would score 100%NA The average ecosystem index score for reference marshes (81%) was typical for urbanized estuaries while restored marshes scored 75% indicating that they were relatively well developed, although there was substantial variability in ecosystem index scores
among sitesNA According the method, 13 independent variables within each assessment area were measuredNA",Comparison of restored with reference saltmarsh,"Spartina alterniflora, Distichlis spicata","Galveston Bay, Texas",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"Thank you to Lalise and Greg Mason (Scenic Galveston); Jeff DallaRosa (Galveston Bay Estuary Program); Ashley Estep, Jamie Schubert, Cherie O’Brien, and Andy Sipocz (Texas Parks and Wildlife Department); Tracey Prothro and John Mason (Baytown Wetland Center); Jerry Judy (Texas City Prairie Preserve); Roger Zimmerman, Lawrence Rozas, and Thomas Minello (NOAA); Kenny Jaynes (USACE); Wade Abbott and Jen Stevenot (Perennial Environmental Services); Philip Smith (Galveston Bay Foundation); and Jim Webb for their help in site access, logistics, and wetland expertiseNA We extend a special thanks to the Texas A&M University at Galveston Coastal and Wetlands Ecology Lab for assistance in the fieldNA",15,NA,NA,2009.00,NA,NA,NA,NA,"Reference marsh ecosystem index scores were about 81%, while the average ecosystem index score for restored salt marshes in Galveston Bay (12 sites which were restored 5-15 years ago) was 75%NA Here, feasibility of average restoration success is provided as the average percentage of restored sites index to reference site index (assuming 100% success at the reference site)NA",92NA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,131,"Taylor DS (2012) Removing the sands (sins?) of our past: dredge spoil removal and saltmarsh restoration along the Indian River Lagoon, Florida (USA)NA Wetl Ecol Manag 20:213-218",journal,2012,2003-2004,NA,primary,"Construction began in early 2003 west of Sams Creek, with clearing of the Brazilian pepper and other vegetation and subsequent pile-burning after 2 weeks of dryingNA After site construction, natural recruitment of saltmarsh and mangrove species was facilitatedNA","Construction, clearing of exotic vegetation",NA,"Sams Creek, Indian River Lagoon, Florida",USA,USA,developed,"Costs (USD) were estimated as follows:
Clearing/grubbing/piling/burning: $1,856/ha
Stockpiling: $2,126/ha
Hauling: $23,292/ha
Total: $27,274/ha",NA,yes,NA,NA,yes,NA,yes,NA,NA,NA,The EEL Program is indebted to the StNA Johns River Water Management District for their valued assistance on this projectNA Particular thanks go to TomWorkmanNA,1,25.00,681850.00,2003.00,27274.00,32329.00,32329.00,32329.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,132,"Zedler J, Morzaria-Luna H, Ward K (2003) The challenge of restoring vegetation on tidal, hypersaline substratesNA Plant Soil 253:259–273",journal,2003,1997-1999,NA,primary,"Excavating sediment, collecting and germinating seeds collected from Tijuana Estuary in a greenhouse, transplanting seedlings in individual peat potsNA When seedlings were 4 months old and 5–10 cm tall, they were hardened outdoors and watered with increasingly saline waterNA Seedlings and peat pots were placed in the experimental plotsNA","Construction, planting saltmarsh","Batis maritima, Salicornia bigelovii, Frankenia salina, Salicornia virginica, Jaumea carnosa, Suaeda esteroa, Limonium californicum, Triglochin concinna ","Tidal Linkage, North
arm of Tijuana Estuary, California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"Funding to construct the Tidal Linkage and the Friendship Marsh came to the Southwest Wetlands Interpretation Association from the US Fish and Wildlife Service and the California State Coastal Conservancy (special thanks to Mike McCoy and Jim King)NA Experimental work at Tijuana Estuary was funded by an award from Earth Island Institute and, at the Tidal Linkage, a grant from the National Science Foundation to Zedler, Callaway, and Sullivan (DEB 96-19875)NA HNA Morzaria was supported by a DOC/NOAA/NERR grant NA070R266 and by CONACyT (134519)NA The experimental restoration of both sites described here would not have been completed without help from colleagues and staff at the Pacific Estuarine Research Laboratory at San Diego State University (special thanks to Gary Sullivan and John Callaway)NA",2,0NA7,NA,1997.00,NA,NA,NA,NA,"Transplant survival; Salicornia virginica, performed best as a transplant and in volunteer seedling recruitment in the Tidal LinkageNA",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,133,"Zedler J, Morzaria-Luna H, Ward K (2003) The challenge of restoring vegetation on tidal, hypersaline substratesNA Plant Soil 253:259–273",journal,2003,2000-2002,NA,primary,"Excavating sediment, collecting and germinating seeds collected from Tijuana Estuary in a greenhouse, transplanting seedlings in individual peat potsNA When seedlings were 4 months old and 5–10 cm tall, they were hardened outdoors and watered with increasingly saline waterNA Seedlings and peat pots were placed in the experimental plotsNA","Construction, planting saltmarsh","Batis maritima, Salicornia bigelovii, Frankenia salina, Jaumea carnosa, Suaeda esteroa, Limonium californicum","Friendship Marsh, southern arm of Tijuana Estuary, California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"Funding to construct the Tidal Linkage and the Friendship Marsh came to the Southwest Wetlands Interpretation Association from the US Fish and Wildlife Service and the California State Coastal Conservancy (special thanks to Mike McCoy and Jim King)NA Experimental work at Tijuana Estuary was funded by an award from Earth Island Institute and, at the Tidal Linkage, a grant from the National Science Foundation to Zedler, Callaway, and Sullivan (DEB 96-19875)NA HNA Morzaria was supported by a DOC/NOAA/NERR grant NA070R266 and by CONACyT (134519)NA The experimental restoration of both sites described here would not have been completed without help from colleagues and staff at the Pacific Estuarine Research Laboratory at San Diego State University (special thanks to Gary Sullivan and John Callaway)NA",2,8.00,NA,2000.00,NA,NA,NA,NA,"Transplant survival; Multiple stresses (high salinity, sediment deposition, algal smothering and animal activity) are implicated as the cause of mortality in the experimental plantingsNA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
